"created_at","screen_name","followers_count","retweet_count","text"
2020-10-01 14:59:56,"theCCCuk",48148,24,"To reach #NetZero in the UK, it will take the Government and public bodies like the NHS to help lead the way. In what is an extremely difficult time, it is commendable that the NHS has set out its path to be a resilient Net Zero organisation. https://t.co/5tXc2j9v64 https://t.co/HZM03NujC3"
2020-12-17 11:29:50,"theCCCuk",48148,0,"This represents Wales’ fair and credible contribution to the UK’s Net Zero goal. Our recommended targets for Wales would achieve nearly two-thirds of the required emissions reduction from 2020 to 2050 in the next 15 years. (3/12) https://t.co/M4R6XHQdRE"
2021-01-22 02:54:25,"Mirrecogroup",226,2,"Reducing #co2 #emissions is one of the Grand Challenges of the 21st century.

We're grateful to @createimpact21 
for acknowledging our position at the forefront of developmental technologies in this space.

#sustainability #environment #hemp #energy #technology #climate #future https://t.co/ucVwv6d8VU"
2020-01-07 22:12:49,"xiyebastida",17397,34,"Why does it seem like women are leading the climate movement? 

Women who have taken it as a path to act, are— and men, well, they are mostly judging women’s work, knowledge, and experience

We can’t loose time fighting over facts. Instead we must act, educate, and mitigate https://t.co/dbK3kjdhV3"
2020-11-19 17:45:37,"CarbonEngineer",6339,2,"Watch Carbon Engineering’s VP Business Development, Lori Guetre, at @CERAWeek as she discusses the key role #DirectAirCapture can play in helping the world achieve true net zero. https://t.co/Baz0AHYGGq"
2021-02-26 14:02:15,"CmccClimate",3977,1,"Climate impacts can affect companies  through their supply chains, which might be interrupted by extreme events damaging suppliers and cause cascade effects, even when they are settled in different countries and contexts of the world.
#CMCCForesight 
https://t.co/TjEDpUE3ej https://t.co/T30veiYgYD"
2021-02-12 14:54:22,"Green_Europe",32632,8,"<U+0001F6A8><U+0001F632>BREAKING: Fossil gas projects have just been included in guidelines for the EU's recovery plans.

Gas is not a ‘bridge fuel’, @EU_Commission. It’s a stranded asset and a climate disaster.

<U+0001F449>https://t.co/FY4TcI6bqE #ClimateAction"
2017-02-23 05:51:54,"voice4theplanet",228,0,"@ayanaeliza #TEDtalk on #OceanZoning is def worth a listen. It's painful fact. #TheOceanDontNeedUs #WeNeedTheOcean https://t.co/3JWSZyQDId"
2021-02-15 13:33:33,"JoyceMsuya",21141,3,"Kikao cha #UNEA5 kitakachojiri kuanzia Februari 22 hadi 23, 2021, kitaimarisha juhudi za kushughulikia mazingira kweye muktadha wa maendeleo endelevu, na kutoa kipaumbele kwa utekelezaji wake kikamilifu. #TutunzeMazingira #SDGs https://t.co/ZdSlvE4n98 https://t.co/9dciQnHQlA"
2020-10-21 10:30:00,"UNEP_Europe",23082,1,"As we build back greener from #COVID-19, governments have a unique opportunity to support #nature from farm to fork. #EUGreenWeek https://t.co/EGh15KKFMz"
